Rank,Feature,Importance Score
1,Size (sqft),0.886694540292054
2,Property Type_Apartment,0.02709326411623351
3,Property Type_Duplex,0.02086169233082649
4,Parking,0.010397521161737717
5,Balcony,0.00958081742437897
6,Property Type_House,0.007990463774156447
7,Is_Ground_Or_Whole,0.0073993058361655675
8,Floor Number,0.006120911816056594
9,"Location_Shahjalal Uposhahar, Sylhet",0.003889902921850207
10,Bedrooms,0.0037381772105231368
11,Bathrooms,0.002621730027966063
12,"Location_Zindabazar, Sylhet",0.0023106184095497465
13,"Location_Majortila, Sylhet",0.0022445972453369032
14,Lift,0.0022196551232422086
15,"Location_Mirabazar, Sylhet",0.002211970393470113
16,Generator,0.001596042872787416
17,"Location_Kazirbazar, Sylhet",0.0006762992169415284
18,"Location_Chowhatta, Sylhet",0.00038079184657872943
19,"Location_Mira Housing Estate, Sylhet",0.00037143809092777386
20,"Location_Shahporan, Sylhet",0.00035378251306798775
21,CCTV,0.0003450546211554842
22,"Location_Tilagor, Sylhet",0.0003206129677475773
23,"Location_Kumarpara, Sylhet",0.0002438089084110939
24,"Location_Pathantula, Sylhet",0.00011330323744089867
25,"Location_Nayasarak, Sylhet",9.315157839853786e-05
26,"Location_Ambarkhana, Sylhet",6.393767872335097e-05
27,"Location_Dargah Gate, Sylhet",4.135635214940514e-05
28,"Location_Bagbari, Sylhet",2.2812489218610458e-05
29,"Location_Subidbazar, Sylhet",2.439542903914818e-06
30,"Location_Mendibagh, Sylhet",0.0
31,"Location_Moulikergaon, Sylhet",0.0
32,"Location_Shibgonj, Sylhet",0.0
33,"Location_Taltola, Sylhet",0.0
34,"Location_Akhalia, Sylhet",0.0
